Location,Type,Energy
2568720 - 2568720,tight,-34.5777758 kcal/mol
2568810 - 2568810,tight,-36.3053099 kcal/mol
2569070 - 2569110,tight,-35.2519538 kcal/mol
2569220 - 2569220,tight,-34.1923028 kcal/mol
2569270 - 2569280,tight,-35.109225 kcal/mol
2569310 - 2569310,tight,-34.342742 kcal/mol
2569470 - 2569470,tight,-34.1045485 kcal/mol
2569580 - 2569580,tight,-39.0192462 kcal/mol
2569795 - 2569795,tight,-36.5939306 kcal/mol
2569815 - 2569815,tight,-35.539946 kcal/mol
2569865 - 2569885,tight,-34.760131066666666 kcal/mol
2570189 - 2570259,tight,-36.482430675 kcal/mol
2570299 - 2570329,tight,-37.6057127 kcal/mol
2570369 - 2570369,tight,-35.1293891 kcal/mol
2570591 - 2570621,tight,-36.532226375 kcal/mol
2570771 - 2570791,tight,-35.16814453333333 kcal/mol
2570911 - 2570961,tight,-37.7761543 kcal/mol
2570981 - 2571011,tight,-36.5815793 kcal/mol
2571061 - 2571061,tight,-35.1356336 kcal/mol
2571131 - 2571181,tight,-38.96847275 kcal/mol
2571201 - 2571231,tight,-40.788129725000005 kcal/mol
2571331 - 2571331,tight,-35.5120348 kcal/mol
2571361 - 2571361,tight,-36.4346305 kcal/mol
2571381 - 2571381,tight,-34.517933 kcal/mol
2571554 - 2571624,tight,-36.1292664875 kcal/mol
2571644 - 2571654,tight,-35.66303125 kcal/mol
2571674 - 2571684,tight,-35.0852948 kcal/mol
2571704 - 2571704,tight,-34.011957 kcal/mol
2571734 - 2571804,tight,-35.554087800000005 kcal/mol
2571824 - 2571824,tight,-36.5755509 kcal/mol
2571844 - 2571864,tight,-38.537390466666665 kcal/mol
2571884 - 2571894,tight,-37.6517438 kcal/mol
2571914 - 2571924,tight,-35.907379399999996 kcal/mol
2571944 - 2571944,tight,-34.1043154 kcal/mol
2572094 - 2572094,tight,-34.4969462 kcal/mol
2572204 - 2572204,tight,-34.1045828 kcal/mol
2572384 - 2572384,loose,-20.8428289 kcal/mol
2573100 - 2573120,tight,-36.7294895 kcal/mol
2573130 - 2573130,loose,-19.5879108 kcal/mol
2573160 - 2573160,tight,-34.9780918 kcal/mol
2573240 - 2573240,loose,-20.1880052 kcal/mol
2573340 - 2573340,loose,-20.3806564 kcal/mol
2573502 - 2573502,tight,-40.8300856 kcal/mol
2573522 - 2573562,tight,-39.18746068 kcal/mol
2573702 - 2573722,tight,-37.141447166666666 kcal/mol
2574280 - 2574280,tight,-35.5444336 kcal/mol
2574320 - 2574320,tight,-34.7861883 kcal/mol
2574380 - 2574400,loose,-18.763933400000003 kcal/mol
2574460 - 2574470,tight,-36.239884700000005 kcal/mol
2574490 - 2574500,tight,-36.04143635 kcal/mol
2574520 - 2574520,tight,-34.2768454 kcal/mol
2574750 - 2574760,tight,-35.14458775 kcal/mol
2575030 - 2575030,tight,-34.6019888 kcal/mol
2575080 - 2575080,loose,-20.8479889 kcal/mol
2575420 - 2575420,tight,-34.0131491 kcal/mol
2575650 - 2575650,loose,-20.8582448 kcal/mol
2575750 - 2575760,tight,-35.45649355 kcal/mol
2575780 - 2575810,tight,-36.220226125 kcal/mol
2575980 - 2575980,tight,-35.0973081 kcal/mol
2576060 - 2576060,tight,-34.9284661 kcal/mol
2576120 - 2576130,tight,-36.3044343 kcal/mol
2576250 - 2576260,tight,-35.7756221 kcal/mol
2576718 - 2576718,loose,-20.2344599 kcal/mol
2577058 - 2577058,tight,-35.0004028 kcal/mol
2577078 - 2577118,tight,-36.36392584 kcal/mol
2577208 - 2577208,loose,-20.1547199 kcal/mol
2577258 - 2577268,loose,-18.22894575 kcal/mol
2577368 - 2577368,loose,-18.659082 kcal/mol
2577388 - 2577398,loose,-19.22489255 kcal/mol
2577478 - 2577478,loose,-20.9841888 kcal/mol
2577538 - 2577538,loose,-18.4874436 kcal/mol
2577668 - 2577678,loose,-19.14924115 kcal/mol
2577718 - 2577728,tight,-34.52073295 kcal/mol
2577788 - 2577788,tight,-37.3449099 kcal/mol
2577798 - 2577798,loose,-19.2034259 kcal/mol
2577908 - 2577908,loose,-17.9098451 kcal/mol
2577928 - 2577928,tight,-34.0527235 kcal/mol
2578018 - 2578018,loose,-19.3296477 kcal/mol
2578068 - 2578068,tight,-35.556931 kcal/mol
2578098 - 2578108,tight,-35.06358 kcal/mol
2578138 - 2578168,tight,-38.258566599999995 kcal/mol
2578508 - 2578508,tight,-37.1829118 kcal/mol
2578538 - 2578538,tight,-34.8535597 kcal/mol
2578658 - 2578658,tight,-35.1818959 kcal/mol
2578908 - 2578908,loose,-20.652541 kcal/mol
2579358 - 2579358,loose,-20.2689598 kcal/mol
2579468 - 2579468,loose,-17.8684595 kcal/mol
2579518 - 2579528,loose,-19.90652635 kcal/mol
2579558 - 2579558,loose,-20.2306538 kcal/mol
2579796 - 2579796,tight,-35.0387662 kcal/mol
2579846 - 2579846,tight,-37.7425446 kcal/mol
2579866 - 2579876,tight,-37.650860699999996 kcal/mol
2579896 - 2579936,tight,-38.1310866 kcal/mol
2579986 - 2579986,loose,-20.1116273 kcal/mol
2580036 - 2580036,loose,-20.8894513 kcal/mol
2580056 - 2580056,loose,-20.3782205 kcal/mol
2580176 - 2580176,tight,-36.243052 kcal/mol
2580196 - 2580196,tight,-34.5426571 kcal/mol
2580616 - 2580646,tight,-35.30896445 kcal/mol
2580666 - 2580696,tight,-37.90216655 kcal/mol
2580925 - 2580925,loose,-8.67329523 kcal/mol
2580945 - 2580945,loose,-11.838584 kcal/mol
2581055 - 2581055,loose,-12.7912134 kcal/mol
2581115 - 2581115,loose,-18.2566236 kcal/mol
2581165 - 2581165,loose,-15.2417058 kcal/mol
2581275 - 2581275,loose,-19.5125084 kcal/mol
2581618 - 2581628,tight,-34.9354204 kcal/mol
2581658 - 2581678,tight,-35.50163906666666 kcal/mol
2581898 - 2581918,tight,-38.482607 kcal/mol
2581938 - 2582018,tight,-39.208957166666664 kcal/mol
2582038 - 2582038,tight,-35.3767293 kcal/mol
2582108 - 2582138,tight,-36.186897450000004 kcal/mol
2582158 - 2582188,tight,-38.48013195 kcal/mol
2582338 - 2582338,tight,-34.9696642 kcal/mol
2582458 - 2582458,tight,-34.3148843 kcal/mol
2582748 - 2582818,tight,-40.039129012500005 kcal/mol
2582838 - 2582838,tight,-34.3348684 kcal/mol
2583883 - 2583883,loose,-18.1331845 kcal/mol
2583913 - 2583913,loose,-20.6137475 kcal/mol
2584023 - 2584033,tight,-35.9082758 kcal/mol
2584183 - 2584183,tight,-34.8571177 kcal/mol
2584213 - 2584213,tight,-35.4436905 kcal/mol
2584243 - 2584243,tight,-33.9885633 kcal/mol
2584273 - 2584273,tight,-34.2096662 kcal/mol
2584293 - 2584293,tight,-34.0111157 kcal/mol
2584773 - 2584773,tight,-35.2720522 kcal/mol
2584903 - 2584903,loose,-20.960363 kcal/mol
2585113 - 2585113,loose,-20.9743734 kcal/mol
2585647 - 2585647,loose,-21.0528563 kcal/mol
2585837 - 2585837,tight,-38.0150159 kcal/mol
2585967 - 2585967,tight,-34.2792827 kcal/mol
2586027 - 2586037,tight,-34.0945979 kcal/mol
2586427 - 2586467,loose,-19.4934555 kcal/mol
2586767 - 2586767,tight,-34.5885636 kcal/mol
2586797 - 2586797,tight,-36.5606985 kcal/mol
2586907 - 2586907,tight,-34.0168374 kcal/mol
2587337 - 2587347,tight,-35.1395452 kcal/mol
2587377 - 2587377,tight,-36.8815557 kcal/mol
2587407 - 2587407,tight,-34.3368384 kcal/mol
2587457 - 2587517,tight,-37.07938211428571 kcal/mol
2587667 - 2587677,loose,-20.55401455 kcal/mol
2587737 - 2587737,tight,-34.6431631 kcal/mol
2587837 - 2587837,tight,-41.6665871 kcal/mol
2588257 - 2588257,loose,-18.7742968 kcal/mol
2588387 - 2588387,tight,-35.3475236 kcal/mol
2588407 - 2588407,tight,-34.0615094 kcal/mol
2588437 - 2588487,tight,-36.35783675 kcal/mol
2588627 - 2588627,loose,-19.3470337 kcal/mol
2589279 - 2589279,loose,-19.897137 kcal/mol
2589299 - 2589319,loose,-18.881920100000002 kcal/mol
2589509 - 2589519,loose,-20.90875085 kcal/mol
2589699 - 2589749,tight,-35.992525533333335 kcal/mol
2589839 - 2589839,tight,-35.9501103 kcal/mol
2589909 - 2589919,tight,-36.47272585 kcal/mol
2590149 - 2590159,loose,-19.90238315 kcal/mol
2590209 - 2590219,loose,-18.493933300000002 kcal/mol
2590239 - 2590239,loose,-19.5682286 kcal/mol
2590439 - 2590439,tight,-34.7476222 kcal/mol
2590479 - 2590479,tight,-34.4904375 kcal/mol
2591124 - 2591124,tight,-38.0861881 kcal/mol
2591876 - 2591876,loose,-17.8271452 kcal/mol
2591896 - 2591906,loose,-16.09520195 kcal/mol
2592106 - 2592106,tight,-35.7895631 kcal/mol
2592196 - 2592216,tight,-35.9937805 kcal/mol
2592236 - 2592236,tight,-37.1183249 kcal/mol
2592266 - 2592276,tight,-36.03322575 kcal/mol
2592426 - 2592436,tight,-35.48627435 kcal/mol
2592456 - 2592466,tight,-36.307134149999996 kcal/mol
2592486 - 2592496,tight,-34.9558879 kcal/mol
2592516 - 2592516,tight,-35.2463403 kcal/mol
2592866 - 2592906,tight,-34.99775682 kcal/mol
2592926 - 2592946,tight,-35.86864036666666 kcal/mol
2593196 - 2593216,loose,-19.1355066 kcal/mol
2593276 - 2593306,tight,-34.6561368 kcal/mol
2593326 - 2593346,tight,-39.07236713333333 kcal/mol
2593396 - 2593396,tight,-36.7989934 kcal/mol
2593466 - 2593466,tight,-35.8720332 kcal/mol
2593536 - 2593536,tight,-36.477433 kcal/mol
2593576 - 2593576,tight,-35.6924235 kcal/mol
2593766 - 2593776,loose,-18.34479785 kcal/mol
2593926 - 2593926,loose,-19.0952932 kcal/mol
2594046 - 2594056,tight,-37.655172199999996 kcal/mol
2594076 - 2594076,tight,-34.2421526 kcal/mol
2594146 - 2594146,loose,-21.0035929 kcal/mol
2594396 - 2594406,tight,-40.089017549999994 kcal/mol
2595127 - 2595157,loose,-20.4514772 kcal/mol
2595177 - 2595207,loose,-18.4389408 kcal/mol
2595347 - 2595357,loose,-20.0242396 kcal/mol
2595883 - 2595883,tight,-34.0605403 kcal/mol
2595933 - 2596013,tight,-36.13432365555556 kcal/mol
2596063 - 2596063,tight,-34.5794582 kcal/mol
2596123 - 2596123,tight,-36.1235913 kcal/mol
2596543 - 2596543,tight,-34.5525232 kcal/mol
2596643 - 2596643,tight,-37.5376614 kcal/mol
2596974 - 2597004,tight,-36.59104565 kcal/mol
2597044 - 2597044,tight,-34.9148438 kcal/mol
2597154 - 2597154,loose,-19.5609563 kcal/mol
2597304 - 2597314,loose,-20.0063914 kcal/mol
2597534 - 2597534,loose,-20.7426745 kcal/mol
2598068 - 2598068,tight,-34.3611614 kcal/mol
2598328 - 2598338,loose,-19.2273013 kcal/mol
2598630 - 2598630,loose,-19.7778434 kcal/mol
2598740 - 2598740,loose,-20.5274574 kcal/mol
2599553 - 2599553,tight,-33.9998197 kcal/mol
2599713 - 2599713,loose,-20.9525658 kcal/mol
2600020 - 2600020,tight,-34.1107199 kcal/mol
2600200 - 2600200,loose,-20.13825 kcal/mol
2600290 - 2600290,tight,-39.1039112 kcal/mol
2600310 - 2600310,loose,-18.9777716 kcal/mol
2600330 - 2600330,tight,-35.3585866 kcal/mol
2600390 - 2600410,loose,-16.491229066666666 kcal/mol
2600430 - 2600440,loose,-17.29386975 kcal/mol
2600470 - 2600470,loose,-19.105881 kcal/mol
2600540 - 2600610,tight,-36.0101222 kcal/mol
2600640 - 2600640,loose,-20.7822075 kcal/mol
2601050 - 2601050,loose,-20.8006825 kcal/mol
2601320 - 2601320,tight,-36.5850009 kcal/mol
2601340 - 2601350,tight,-38.198203500000005 kcal/mol
2601370 - 2601380,tight,-35.730461899999995 kcal/mol
2601500 - 2601540,tight,-36.81501628000001 kcal/mol
2601590 - 2601590,tight,-34.2074299 kcal/mol
2601610 - 2601610,tight,-37.7564046 kcal/mol
2601630 - 2601660,tight,-36.210894499999995 kcal/mol
2601680 - 2601680,tight,-35.2937111 kcal/mol
2602059 - 2602069,loose,-16.794331149999998 kcal/mol
2602219 - 2602219,tight,-35.9871237 kcal/mol
2602339 - 2602339,tight,-34.3884894 kcal/mol
2602479 - 2602529,tight,-36.48213111666667 kcal/mol
2602599 - 2602609,loose,-19.85216175 kcal/mol
2602629 - 2602629,loose,-20.0073666 kcal/mol
2602873 - 2602943,tight,-39.7933540125 kcal/mol
2602963 - 2602963,tight,-37.4999792 kcal/mol
2602983 - 2602983,tight,-35.1034225 kcal/mol
2603003 - 2603003,tight,-37.4616351 kcal/mol
2603083 - 2603083,tight,-35.268446 kcal/mol
2603153 - 2603193,tight,-35.57898568 kcal/mol
2603243 - 2603253,tight,-38.890622449999995 kcal/mol
2603373 - 2603383,loose,-20.526292750000003 kcal/mol
2603553 - 2603563,loose,-19.62458925 kcal/mol
2603683 - 2603683,tight,-36.2152312 kcal/mol
2603703 - 2603703,tight,-34.4218629 kcal/mol
2603813 - 2603813,tight,-34.1451142 kcal/mol
2603853 - 2603853,tight,-38.5175687 kcal/mol
2603883 - 2603893,tight,-37.75086745 kcal/mol
2604063 - 2604073,tight,-39.4648641 kcal/mol
2604093 - 2604103,tight,-35.76622245 kcal/mol
2604494 - 2604514,tight,-38.2835864 kcal/mol
2604534 - 2604574,tight,-40.4806866 kcal/mol
2604704 - 2604734,tight,-36.060572525 kcal/mol
2605029 - 2605049,tight,-36.2355587 kcal/mol
2605069 - 2605069,tight,-36.9374414 kcal/mol
2605129 - 2605129,tight,-35.1340714 kcal/mol
2605169 - 2605169,loose,-17.9910689 kcal/mol
2605229 - 2605229,tight,-36.1824996 kcal/mol
2605249 - 2605289,tight,-37.296481920000005 kcal/mol
2605309 - 2605309,tight,-34.3286843 kcal/mol
2606349 - 2606359,tight,-35.087625450000004 kcal/mol
2606519 - 2606519,tight,-34.8079502 kcal/mol
2606539 - 2606549,tight,-34.135763600000004 kcal/mol
2606569 - 2606569,tight,-35.2504925 kcal/mol
2606619 - 2606619,loose,-20.4210233 kcal/mol
2606679 - 2606679,loose,-18.599212 kcal/mol
2606719 - 2606719,loose,-20.9610175 kcal/mol
2606739 - 2606739,loose,-21.0521103 kcal/mol
2606819 - 2606829,loose,-20.387821250000002 kcal/mol
2606929 - 2606929,tight,-34.5333337 kcal/mol
2607019 - 2607019,tight,-34.073626 kcal/mol
2607279 - 2607289,tight,-34.37247445 kcal/mol
2607309 - 2607309,tight,-38.4060885 kcal/mol
2607329 - 2607369,tight,-37.52903988 kcal/mol
2607389 - 2607389,tight,-36.6119214 kcal/mol
2607599 - 2607599,loose,-21.005749 kcal/mol
2607779 - 2607789,tight,-34.1720868 kcal/mol
2607989 - 2607989,tight,-34.1014363 kcal/mol
2608326 - 2608386,loose,-15.567145442857143 kcal/mol
2608406 - 2608406,loose,-21.0572057 kcal/mol
2608788 - 2608808,loose,-20.047976533333337 kcal/mol
2608898 - 2608898,tight,-34.4805804 kcal/mol
2609178 - 2609178,tight,-36.976779 kcal/mol
2609198 - 2609198,tight,-35.2419936 kcal/mol
2609218 - 2609228,tight,-36.06014195 kcal/mol
2609639 - 2609679,tight,-36.45205478 kcal/mol
2609709 - 2609709,tight,-38.8554246 kcal/mol
2609729 - 2609729,tight,-35.9100682 kcal/mol
2610062 - 2610062,loose,-16.1737164 kcal/mol
2610122 - 2610122,loose,-19.7045827 kcal/mol
2610392 - 2610392,loose,-21.0755192 kcal/mol
2610502 - 2610522,loose,-19.889046399999998 kcal/mol
2610542 - 2610572,loose,-19.876045225 kcal/mol
2610602 - 2610602,tight,-34.5958085 kcal/mol
2610612 - 2610612,loose,-20.9233902 kcal/mol
2610632 - 2610632,tight,-35.3022607 kcal/mol
2610912 - 2610932,tight,-35.000425666666665 kcal/mol
2610952 - 2610952,tight,-36.532117 kcal/mol
2611072 - 2611072,loose,-20.8470237 kcal/mol
2611092 - 2611092,loose,-20.8875471 kcal/mol
2611472 - 2611512,loose,-17.45114488 kcal/mol
2611532 - 2611532,loose,-20.5103136 kcal/mol
2611552 - 2611572,loose,-19.339261099999998 kcal/mol
2611812 - 2611812,loose,-20.8049552 kcal/mol
2612116 - 2612126,tight,-35.21107175 kcal/mol
2612306 - 2612306,tight,-34.4585166 kcal/mol
2612496 - 2612506,loose,-19.932198800000002 kcal/mol
2613172 - 2613182,tight,-34.39461245 kcal/mol
2613202 - 2613212,tight,-35.5900541 kcal/mol
2613452 - 2613452,tight,-36.6539461 kcal/mol
2613602 - 2613602,tight,-34.4093393 kcal/mol
2613702 - 2613702,tight,-34.1513028 kcal/mol
2613752 - 2613752,tight,-35.7983968 kcal/mol
2614286 - 2614286,loose,-20.125184 kcal/mol
2614386 - 2614436,tight,-35.59428223333333 kcal/mol
2614456 - 2614456,tight,-34.3157617 kcal/mol
2614486 - 2614496,tight,-35.6195361 kcal/mol
2614516 - 2614516,tight,-34.1171322 kcal/mol
2614596 - 2614606,loose,-19.3191983 kcal/mol
2614626 - 2614656,loose,-18.618007249999998 kcal/mol
2614676 - 2614686,loose,-19.420953150000003 kcal/mol
2614776 - 2614776,loose,-21.0723888 kcal/mol
2614816 - 2614916,tight,-39.103833654545454 kcal/mol
2615206 - 2615216,tight,-36.2031215 kcal/mol
2615266 - 2615266,tight,-35.6181753 kcal/mol
2615770 - 2615780,tight,-34.86813255 kcal/mol
2616097 - 2616097,loose,-20.1618929 kcal/mol
2616117 - 2616117,loose,-20.2150499 kcal/mol
2616157 - 2616157,tight,-35.6726398 kcal/mol
2616187 - 2616217,tight,-41.02191285 kcal/mol
2616237 - 2616237,tight,-37.0710957 kcal/mol
2616447 - 2616447,loose,-20.918518 kcal/mol
2616717 - 2616727,tight,-35.20168655 kcal/mol
2617153 - 2617153,loose,-20.7283719 kcal/mol
2617173 - 2617173,loose,-20.3996708 kcal/mol
2617263 - 2617263,tight,-34.7235415 kcal/mol
2617283 - 2617283,tight,-35.8016938 kcal/mol
2617333 - 2617333,loose,-16.6228507 kcal/mol
2617353 - 2617413,tight,-37.44031367142856 kcal/mol
2617443 - 2617443,loose,-20.0652836 kcal/mol
2617503 - 2617503,loose,-19.9146354 kcal/mol
2617553 - 2617553,loose,-19.5447063 kcal/mol
2617653 - 2617653,loose,-19.5124384 kcal/mol
2617943 - 2617963,tight,-36.375529 kcal/mol
2618003 - 2618013,tight,-36.4095695 kcal/mol
2618408 - 2618408,tight,-36.2315971 kcal/mol
2618558 - 2618568,tight,-35.70724665 kcal/mol
2618588 - 2618658,tight,-36.423926875 kcal/mol
2618678 - 2618678,tight,-34.7391563 kcal/mol
2618871 - 2618901,loose,-19.075370749999998 kcal/mol
2619229 - 2619229,tight,-36.3896023 kcal/mol
2619259 - 2619259,tight,-34.4950088 kcal/mol
2619479 - 2619529,tight,-38.70439145 kcal/mol
2619839 - 2619839,tight,-36.0124653 kcal/mol
2619949 - 2619959,tight,-34.676928700000005 kcal/mol
2620129 - 2620129,loose,-18.5768794 kcal/mol
2620266 - 2620266,tight,-34.8012244 kcal/mol
2620286 - 2620286,tight,-37.1208475 kcal/mol
2620396 - 2620406,tight,-35.715311 kcal/mol
2620476 - 2620476,loose,-20.8364677 kcal/mol
2620586 - 2620606,tight,-34.709423433333335 kcal/mol
2620716 - 2620716,tight,-35.0507808 kcal/mol
2620776 - 2620786,tight,-35.71957875 kcal/mol
2621066 - 2621066,loose,-21.0734788 kcal/mol
2621596 - 2621596,loose,-19.7264318 kcal/mol
2621806 - 2621826,tight,-35.243097000000006 kcal/mol
2621866 - 2621866,loose,-19.2873506 kcal/mol
2621896 - 2621896,loose,-20.9432255 kcal/mol
2621916 - 2621936,loose,-20.2669168 kcal/mol
2621976 - 2621976,loose,-21.0110446 kcal/mol
2622086 - 2622086,loose,-20.598751 kcal/mol
2622306 - 2622346,loose,-19.36468464 kcal/mol
2622596 - 2622596,loose,-19.2351683 kcal/mol
2622626 - 2622626,loose,-19.4324222 kcal/mol
2622646 - 2622646,loose,-18.3975414 kcal/mol
2622816 - 2622816,loose,-19.0454325 kcal/mol
2622836 - 2622916,loose,-19.1034914 kcal/mol
2623147 - 2623147,tight,-34.9704679 kcal/mol
2623197 - 2623217,tight,-36.71854453333333 kcal/mol
2623407 - 2623407,loose,-20.3875282 kcal/mol
2623427 - 2623467,loose,-18.83875176 kcal/mol
2623697 - 2623697,tight,-34.4986866 kcal/mol
2623897 - 2623897,loose,-20.6339109 kcal/mol
2623917 - 2623917,loose,-21.0248056 kcal/mol
2624067 - 2624067,loose,-21.0634043 kcal/mol
2624227 - 2624227,loose,-20.706652 kcal/mol
2624447 - 2624447,tight,-34.46091 kcal/mol
2624717 - 2624717,loose,-16.6437479 kcal/mol
2624767 - 2624767,tight,-34.0929303 kcal/mol
2624837 - 2624837,loose,-16.2360294 kcal/mol
2624867 - 2624867,loose,-20.6851022 kcal/mol
2624997 - 2625007,tight,-34.50803115 kcal/mol
2625167 - 2625167,tight,-35.2434609 kcal/mol
2625497 - 2625497,loose,-19.4521768 kcal/mol
2625527 - 2625547,loose,-19.969325066666666 kcal/mol
2625637 - 2625647,loose,-19.98433365 kcal/mol
2625667 - 2625667,loose,-21.0082766 kcal/mol
2625737 - 2625737,loose,-17.4865513 kcal/mol
2625847 - 2625847,loose,-14.8596487 kcal/mol
2625947 - 2625947,loose,-15.9455392 kcal/mol
2625967 - 2625967,loose,-17.9958227 kcal/mol
2626017 - 2626067,loose,-18.847360616666666 kcal/mol
2626097 - 2626107,loose,-20.3030929 kcal/mol
2626127 - 2626147,loose,-19.783928200000002 kcal/mol
2626217 - 2626217,loose,-19.4202578 kcal/mol
2626327 - 2626327,loose,-10.0879714 kcal/mol
2626347 - 2626347,loose,-20.5351209 kcal/mol
2626367 - 2626397,loose,-18.74358795 kcal/mol
2626437 - 2626437,loose,-14.5709809 kcal/mol
2626547 - 2626547,loose,-16.2635385 kcal/mol
2626627 - 2626627,loose,-20.4694585 kcal/mol
2626647 - 2626717,loose,-16.903462150000003 kcal/mol
2626767 - 2626767,loose,-19.4848671 kcal/mol
2627142 - 2627192,loose,-16.159267833333335 kcal/mol
2627312 - 2627402,loose,-17.168663790000004 kcal/mol
2627827 - 2627827,loose,-11.0496034 kcal/mol
2627847 - 2627867,loose,-15.340825500000001 kcal/mol
2627927 - 2627937,tight,-40.133859 kcal/mol
2627957 - 2627977,tight,-37.5695527 kcal/mol
2628167 - 2628227,loose,-15.44986098714286 kcal/mol
2628358 - 2628358,loose,-20.509861 kcal/mol
2628508 - 2628508,loose,-20.0350519 kcal/mol
2628528 - 2628528,loose,-19.9979602 kcal/mol
2628658 - 2628658,loose,-19.4334101 kcal/mol
2628788 - 2628788,loose,-20.9483617 kcal/mol
2629480 - 2629480,loose,-19.4929065 kcal/mol
2629550 - 2629550,tight,-34.3955134 kcal/mol
2629590 - 2629600,tight,-34.520565500000004 kcal/mol
2629700 - 2629700,tight,-35.2127781 kcal/mol
2629730 - 2629730,tight,-34.0273273 kcal/mol
2629810 - 2629810,tight,-34.7070034 kcal/mol
2629900 - 2629900,tight,-37.397598 kcal/mol
2630080 - 2630080,tight,-35.3132751 kcal/mol
2630390 - 2630390,tight,-34.2540157 kcal/mol
2630626 - 2630626,loose,-17.8457867 kcal/mol
2630636 - 2630636,tight,-40.454395 kcal/mol
2630656 - 2630676,tight,-36.81344313333333 kcal/mol
2630746 - 2630746,loose,-19.3186123 kcal/mol
2630836 - 2630836,tight,-34.5836874 kcal/mol
2630896 - 2630896,tight,-36.5382914 kcal/mol
2631236 - 2631236,loose,-18.8662892 kcal/mol
2631316 - 2631316,tight,-35.8433081 kcal/mol
2631346 - 2631346,loose,-17.29945 kcal/mol
2631396 - 2631396,tight,-34.2036296 kcal/mol
2631576 - 2631626,tight,-36.65273978333334 kcal/mol
2631706 - 2631706,loose,-20.9813156 kcal/mol
2631806 - 2631806,tight,-36.0033066 kcal/mol
2631916 - 2631926,tight,-36.0431934 kcal/mol
2631946 - 2631986,tight,-39.33654062 kcal/mol
2632101 - 2632101,loose,-18.3407587 kcal/mol
2632914 - 2632914,loose,-20.4605038 kcal/mol
2632984 - 2632984,tight,-37.5529672 kcal/mol
2633014 - 2633034,tight,-37.2340831 kcal/mol
2633064 - 2633084,tight,-34.8796892 kcal/mol
2633214 - 2633214,loose,-20.2068196 kcal/mol
2633374 - 2633384,loose,-20.10562405 kcal/mol
2634236 - 2634236,loose,-18.0816546 kcal/mol
2634406 - 2634406,tight,-34.7484303 kcal/mol
2634426 - 2634436,tight,-35.58309735 kcal/mol
2634716 - 2634716,loose,-19.1835833 kcal/mol
2634736 - 2634736,loose,-19.6085533 kcal/mol
2635796 - 2635796,tight,-35.0972028 kcal/mol
2635916 - 2635916,tight,-34.7611024 kcal/mol
2635966 - 2635966,tight,-35.5065672 kcal/mol
2636066 - 2636136,tight,-37.355131300000004 kcal/mol
2636156 - 2636156,tight,-34.0789209 kcal/mol
2636416 - 2636416,tight,-35.8943261 kcal/mol
2636436 - 2636446,tight,-36.29457 kcal/mol
2636506 - 2636506,tight,-37.2289642 kcal/mol
2637045 - 2637045,tight,-38.7983121 kcal/mol
2637483 - 2637513,tight,-35.10042745 kcal/mol
2637783 - 2637783,tight,-35.7409891 kcal/mol
2637813 - 2637823,tight,-36.889667849999995 kcal/mol
2638083 - 2638083,tight,-34.0728737 kcal/mol
2638353 - 2638353,tight,-34.5724377 kcal/mol
2638738 - 2638738,tight,-35.9865289 kcal/mol
2638798 - 2638798,tight,-35.7692155 kcal/mol
2638968 - 2638968,tight,-34.788745 kcal/mol
2639068 - 2639078,tight,-34.7283796 kcal/mol
2639318 - 2639338,tight,-40.17425986666667 kcal/mol
2639358 - 2639388,tight,-37.4447233 kcal/mol
2639578 - 2639598,tight,-34.74300313333333 kcal/mol
2639638 - 2639638,tight,-34.8437094 kcal/mol
2639853 - 2639853,loose,-18.4814166 kcal/mol
2640063 - 2640063,tight,-36.2380671 kcal/mol
2640083 - 2640083,tight,-34.3081106 kcal/mol
2640103 - 2640123,tight,-36.72163953333334 kcal/mol
2640243 - 2640243,loose,-20.3830687 kcal/mol
2640293 - 2640293,loose,-20.2539944 kcal/mol
2640443 - 2640443,tight,-34.8168986 kcal/mol
2640463 - 2640523,tight,-37.9167274 kcal/mol
2640543 - 2640553,tight,-36.1097839 kcal/mol
2640743 - 2640743,loose,-20.6162487 kcal/mol
2640753 - 2640753,tight,-34.1225265 kcal/mol
2641151 - 2641151,loose,-20.0456651 kcal/mol
2641201 - 2641221,tight,-38.538804000000006 kcal/mol
2641241 - 2641241,tight,-34.301408 kcal/mol
2641271 - 2641281,tight,-37.16676955 kcal/mol
2641351 - 2641361,tight,-34.8796367 kcal/mol
2641411 - 2641431,tight,-36.0834442 kcal/mol
2641491 - 2641511,tight,-35.63470386666666 kcal/mol
2641531 - 2641551,tight,-36.9611213 kcal/mol
2641571 - 2641581,tight,-35.5421104 kcal/mol
2641601 - 2641611,tight,-36.13298275 kcal/mol
2641661 - 2641661,tight,-36.0659766 kcal/mol
2641771 - 2641771,tight,-34.09856 kcal/mol
2641931 - 2641931,loose,-19.4785814 kcal/mol
2642021 - 2642021,loose,-20.9328817 kcal/mol
2642455 - 2642455,loose,-20.2071836 kcal/mol
2642475 - 2642475,loose,-19.3597238 kcal/mol
2642545 - 2642575,tight,-36.468685525 kcal/mol
2642585 - 2642585,loose,-20.7863899 kcal/mol
2642595 - 2642595,tight,-37.3320893 kcal/mol
2643035 - 2643035,tight,-34.3945726 kcal/mol
2643135 - 2643135,tight,-34.2618879 kcal/mol
2643155 - 2643165,tight,-35.3435158 kcal/mol
2643185 - 2643205,tight,-35.69397956666667 kcal/mol
2643305 - 2643305,tight,-34.2588958 kcal/mol
